2196,2144,2397,2145,2245,2196,2145,2144,2144,2196,1790,1843,1792,1843,1842,1844,1740,1844,1843,1842,1741,1843,1843,1844,1842,1842,1740,1793,1791,1740,1792,1741
2244,2246,2144,2347,2347,2195,2195,2245,2346,2244,1841,1792,1792,1740,1842,1740,1741,1791,1742,1740,1791,1741,1740,1791,1742,1843,1742,1741,1741,1742,1844,1791
2144,2145,2398,2144,2195,2196,2145,2347,2143,2143,1892,1895,1895,1895,1742,1791,1740,1792,1792,1740,1791,1740,1741,1844,1792,1791,1792,1791,1843,1740,1843,1742
2245,2145,2196,2145,2347,2397,2194,2398,2247,2246,2244,2196,2143,2145,1892,1791,1742,1742,1740,1843,1740,1843,1844,1791,1741,1792,1844,1793,1844,1741,1740,1791
2142,2244,2142,2398,2143,2142,2142,2144,2145,2193,2145,2142,2346,2142,2145,1892,1894,1843,1843,1791,1793,1842,1843,1740,1793,1742,1792,1842,1741,1792,1843,1791
2145,2196,2143,2244,2193,2398,2398,2143,2245,2193,2144,2244,2246,2142,2347,2193,2144,1841,1791,1791,1842,1740,1793,1842,1791,1741,1742,1742,1742,1843,1792,1742
1692,2143,2247,2247,2145,2346,2346,2397,2142,2346,2244,2193,2194,2143,2195,2398,2145,1790,1742,1842,1843,1842,1791,1741,1791,1741,1844,1742,1844,1793,1741,1741
1843,1690,1692,2245,2193,2144,2346,2246,2397,2194,2398,2246,2193,2397,2194,2195,2144,1739,1742,1741,1740,1742,1741,1791,1792,1844,1740,1742,1742,1844,1843,1843
1844,1844,1794,2196,2145,2244,2246,2143,2244,2247,2247,2347,2145,2144,2143,2144,2397,1892,1894,1893,1793,1791,1844,1791,1793,1741,1842,1793,1791,1742,1740,1792
1842,1792,1793,1692,2193,2143,2194,2397,2143,2142,2247,2144,2193,2194,2398,2398,2347,2144,2346,2142,2246,2244,2195,1892,1740,1842,1791,1791,1792,1791,1791,1741
1842,1741,1793,1845,2195,2245,2347,2145,2244,2194,2196,2196,2144,2193,2398,2398,2143,2145,2244,2144,2346,2143,2245,2347,1892,1742,1842,1843,1793,1741,1842,1793
1792,1793,1842,1794,2195,2397,2246,2143,2144,2245,2143,2196,2398,2144,2142,2247,2247,2245,2245,2398,2193,2145,2143,2397,2142,1841,1844,1793,1793,1842,1793,1792
1740,1792,1844,1793,1692,2347,2144,2398,2247,2347,2244,2195,2346,2398,2246,2195,2143,2194,2347,2144,2144,2193,2347,2196,2194,1892,1893,1893,1895,1893,1895,1894
1742,1741,1791,1843,1792,1692,2145,2244,2247,2398,2143,2244,2193,2142,2398,2143,2145,2194,2246,2346,2144,2194,2142,2196,2144,2195,2398,2346,2193,2397,2145,2398
1741,1741,1842,1791,1791,1794,2244,2244,2397,2347,2193,2346,2347,2145,2247,2398,2347,2144,2142,2142,2398,2142,2397,2194,2145,2398,2347,2346,2244,2144,2245,2195
1791,1844,1741,1793,1844,1794,2145,2145,2142,2193,2397,2196,2145,2244,2398,2244,2244,2347,2144,2196,2347,2143,2247,2194,2193,2193,2247,2145,2196,2244,2195,2196
1741,1844,1844,1843,1844,1845,2194,2397,2193,2142,2145,2144,2245,2195,2398,2398,2142,2398,2247,2244,2193,2144,2195,2398,2347,2144,2145,2145,2145,2194,2398,2246
