1838,1786,1786,1839,1786,1735,1736,1736,1786,1737,1786,1838,1735,1839,1788,1837,1788,1837,1743,1390,1390,1492,1441,1490,1815,1869,1767,1868,1816,1766
1737,1838,1839,1788,1838,1735,1788,1837,1735,1787,1837,1788,1839,1787,1839,1838,1735,1788,1896,1490,1491,1440,1390,1440,1866,1818,1868,1817,1817,1766
1837,1786,1735,1786,1839,1787,1837,1788,1786,1735,1787,1736,1839,1837,1838,1788,1737,1947,1440,1389,1389,1490,1389,1388,1866,1869,1767,1818,1869,1767
1737,1786,1788,1837,1735,1737,1837,1735,1837,1787,1736,1737,1839,1788,1788,1735,1997,1492,1490,1491,1390,1439,1492,1491,1815,1869,1817,1869,1816,1869
1736,1787,1735,1786,1787,1838,1788,1735,1786,1838,1737,1837,1787,1786,1788,1787,1896,1490,1492,1389,1440,1490,1440,1390,1866,1816,1818,1767,1867,1765
1839,1839,1737,1787,1837,1737,1737,1735,1838,1787,1787,1837,1788,1737,1838,1997,1390,1390,1491,1491,1440,1439,1390,1389,1815,1868,1868,1818,1767,1766
1787,1788,1736,1839,1737,1786,1786,1837,1786,1837,1787,1837,1787,1838,1792,1947,1492,1389,1440,1441,1490,1388,1441,1440,1764,1869,1869,1767,1817,1767
1787,1735,1735,1838,1838,1736,1839,1788,1837,1839,1788,1736,1737,1745,1997,1388,1440,1440,1389,1491,1390,1491,1389,1439,1764,1766,1867,1868,1767,1867
1736,1736,1736,1787,1788,1786,1786,1737,1838,1786,1838,1737,1847,1798,1896,1388,1388,1388,1389,1389,1490,1390,1440,1441,1764,1765,1816,1867,1818,1767
1787,1736,1788,1839,1735,1735,1788,1788,1736,1786,1788,1786,1844,1891,1491,1490,1491,1439,1388,1389,1390,1491,1492,1491,1764,1816,1818,1868,1766,1818
1837,1735,1839,1837,1787,1838,1787,1837,1737,1737,1787,1843,1896,1491,1389,1389,1439,1492,1390,1492,1390,1490,1389,1390,1866,1869,1868,1869,1818,1867
1787,1788,1838,1735,1786,1838,1895,1736,1838,1843,1889,1891,1440,1440,1390,1491,1440,1713,1715,1716,1717,1491,1492,1390,1866,1817,1767,1818,1867,1766
1788,1735,1837,1735,1837,1997,1490,1841,1844,1845,1451,1450,1388,1389,1389,1490,1388,1815,1767,1767,1768,1441,1390,1490,1815,1868,1766,1767,1765,1817
1786,1787,1838,1788,1737,1794,1450,1892,1895,1896,1441,1501,1492,1492,1390,1441,1440,1866,1867,1767,1819,1388,1388,1662,1817,1817,1817,1869,1868,1869
1839,1788,1839,1838,1839,1743,1439,1388,1491,1439,1388,1388,1492,1390,1492,1490,1713,1765,1867,1867,1766,1717,1389,1612,1869,1767,1818,1818,1767,1818
1786,1735,1737,1735,1737,1845,1439,1491,1490,1440,1492,1490,1439,1491,1389,1713,1816,1817,1816,1868,1817,1765,1715,1816,1816,1767,1816,1869,1869,1868
1786,1838,1788,1736,1842,1997,1389,1490,1389,1490,1441,1441,1491,1491,1492,1866,1818,1765,1766,1868,1868,1767,1818,1765,1869,1868,1766,1818,1766,1767
1742,1792,1741,1741,1742,1794,1390,1490,1491,1390,1491,1389,1440,1441,1441,1866,1868,1766,1817,1817,1867,1818,1766,1818,1816,1867,1818,1817,1817,1767
1742,1792,1740,1792,1843,1794,1491,1440,1440,1390,1441,1490,1390,1490,1713,1817,1817,1816,1816,1868,1817,1867,1869,1867,1765,1868,1869,1817,1767,1868
1843,1842,1740,1842,1742,1845,1492,1388,1389,1439,1441,1490,1491,1713,1818,1767,1816,1766,1818,1867,1869,1868,1867,1817,1816,1816,1767,1868,1765,1767
